"Hero","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Win %","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Total","% of games"
"Visage","11","4.14%","7","4","0","18.18%","4","1.50%","0","2","2","15","5.64%"
"Winter Wyvern","12","4.51%","1","7","4","58.33%","2","0.75%","1","0","1","14","5.26%"
"Faceless Void","7","2.63%","1","3","3","28.57%","6","2.26%","1","3","2","13","4.89%"
"Chaos Knight","9","3.38%","0","3","6","55.56%","4","1.50%","0","2","2","13","4.89%"
"Nature's Prophet","9","3.38%","2","5","2","66.67%","3","1.13%","0","3","0","12","4.51%"
"Medusa","5","1.88%","0","2","3","100.00%","7","2.63%","0","3","4","12","4.51%"
"Sven","8","3.01%","0","2","6","75.00%","3","1.13%","0","0","3","11","4.14%"
"Jakiro","8","3.01%","4","2","2","12.50%","3","1.13%","0","2","1","11","4.14%"
"Windrunner","8","3.01%","0","2","6","37.50%","2","0.75%","0","2","0","10","3.76%"
"Enchantress","3","1.13%","0","1","2","0.00%","7","2.63%","7","0","0","10","3.76%"
"Doom","7","2.63%","1","4","2","28.57%","3","1.13%","1","1","1","10","3.76%"
"Undying","7","2.63%","0","3","4","42.86%","3","1.13%","1","1","1","10","3.76%"
"Brewmaster","5","1.88%","1","2","2","20.00%","4","1.50%","0","3","1","9","3.38%"
"Drow Ranger","3","1.13%","0","3","0","66.67%","5","1.88%","0","3","2","8","3.01%"
"Enigma","5","1.88%","3","0","2","60.00%","3","1.13%","2","1","0","8","3.01%"
"Pugna","5","1.88%","0","2","3","60.00%","3","1.13%","0","0","3","8","3.01%"
"Ancient Apparition","3","1.13%","0","1","2","33.33%","5","1.88%","0","2","3","8","3.01%"
"Spirit Breaker","7","2.63%","1","5","1","42.86%","1","0.38%","0","1","0","8","3.01%"
"Mirana","5","1.88%","0","0","5","20.00%","2","0.75%","0","0","2","7","2.63%"
"Clinkz","3","1.13%","0","0","3","66.67%","4","1.50%","0","1","3","7","2.63%"
"Necrolyte","4","1.50%","0","3","1","50.00%","2","0.75%","0","2","0","6","2.26%"
"Dragon Knight","5","1.88%","0","5","0","100.00%","1","0.38%","0","1","0","6","2.26%"
"Bristleback","4","1.50%","0","3","1","75.00%","2","0.75%","1","1","0","6","2.26%"
"Razor","5","1.88%","0","3","2","20.00%","0","0.00%","0","0","0","5","1.88%"
"Broodmother","3","1.13%","0","0","3","100.00%","2","0.75%","2","0","0","5","1.88%"
"Gyrocopter","4","1.50%","0","2","2","25.00%","0","0.00%","0","0","0","4","1.50%"
"Shadow Demon","3","1.13%","0","3","0","33.33%","1","0.38%","0","0","1","4","1.50%"
"Abyssal Underlord","3","1.13%","0","1","2","33.33%","1","0.38%","0","0","1","4","1.50%"
"Bloodseeker","2","0.75%","0","2","0","100.00%","1","0.38%","0","0","1","3","1.13%"
"Tiny","3","1.13%","0","0","3","33.33%","0","0.00%","0","0","0","3","1.13%"
"Zeus","1","0.38%","0","1","0","100.00%","2","0.75%","1","0","1","3","1.13%"
"Chen","1","0.38%","0","0","1","0.00%","2","0.75%","0","1","1","3","1.13%"
"Lycanthrope","1","0.38%","0","1","0","100.00%","2","0.75%","0","1","1","3","1.13%"
"Lone Druid","0","0.00%","0","0","0","?","3","1.13%","1","2","0","3","1.13%"
"Elder Titan","3","1.13%","3","0","0","66.67%","0","0.00%","0","0","0","3","1.13%"
"Bane","2","0.75%","2","0","0","100.00%","0","0.00%","0","0","0","2","0.75%"
"Lich","2","0.75%","1","1","0","50.00%","0","0.00%","0","0","0","2","0.75%"
"Oracle","2","0.75%","1","1","0","0.00%","0","0.00%","0","0","0","2","0.75%"
"Phantom Lancer","1","0.38%","0","0","1","0.00%","0","0.00%","0","0","0","1","0.38%"
"Death Prophet","1","0.38%","0","0","1","0.00%","0","0.00%","0","0","0","1","0.38%"
"Leshrac","1","0.38%","0","1","0","0.00%","0","0.00%","0","0","0","1","0.38%"
"Huskar","1","0.38%","0","1","0","100.00%","0","0.00%","0","0","0","1","0.38%"
"Techies","0","0.00%","0","0","0","?","1","0.38%","1","0","0","1","0.38%"
"Phoenix","1","0.38%","0","0","1","0.00%","0","0.00%","0","0","0","1","0.38%"
