"Hero","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Win %","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Total","% of games"
"Dazzle","57","11.38%","24","30","3","43.86%","38","7.58%","9","19","10","95","18.96%"
"Sniper","34","6.79%","4","12","18","50.00%","60","11.98%","7","32","21","94","18.76%"
"Batrider","40","7.98%","12","20","8","47.50%","47","9.38%","12","25","10","87","17.37%"
"Meepo","18","3.59%","3","6","9","66.67%","66","13.17%","35","19","12","84","16.77%"
"Naga Siren","20","3.99%","2","4","14","50.00%","51","10.18%","12","28","11","71","14.17%"
"Io","21","4.19%","6","13","2","42.86%","47","9.38%","46","1","0","68","13.57%"
"Puck","54","10.78%","5","27","22","51.85%","13","2.59%","3","1","9","67","13.37%"
"Phantom Assassin","39","7.78%","1","16","22","43.59%","28","5.59%","2","18","8","67","13.37%"
"Riki","24","4.79%","1","22","1","62.50%","37","7.39%","6","25","6","61","12.18%"
"Anti-Mage","22","4.39%","0","7","15","31.82%","37","7.39%","1","18","18","59","11.78%"
"Clockwerk","39","7.78%","9","24","6","48.72%","19","3.79%","2","8","9","58","11.58%"
"Omniknight","32","6.39%","6","20","6","53.12%","23","4.59%","11","5","7","55","10.98%"
"Venomancer","25","4.99%","8","9","8","68.00%","28","5.59%","8","14","6","53","10.58%"
"Luna","27","5.39%","1","14","12","48.15%","23","4.59%","2","13","8","50","9.98%"
"Visage","30","5.99%","14","10","6","73.33%","16","3.19%","8","6","2","46","9.18%"
"Drow Ranger","19","3.79%","1","13","5","57.89%","26","5.19%","1","15","10","45","8.98%"
"Lone Druid","17","3.39%","4","6","7","52.94%","28","5.59%","17","5","6","45","8.98%"
"Spectre","24","4.79%","0","10","14","62.50%","16","3.19%","0","7","9","40","7.98%"
"Pudge","20","3.99%","8","9","3","50.00%","18","3.59%","7","10","1","38","7.58%"
"Tusk","35","6.99%","8","21","6","54.29%","3","0.60%","2","0","1","38","7.58%"
"Morphling","20","3.99%","0","12","8","50.00%","17","3.39%","1","5","11","37","7.39%"
"Faceless Void","25","4.99%","5","9","11","36.00%","10","2.00%","3","3","4","35","6.99%"
"Earthshaker","27","5.39%","2","17","8","37.04%","7","1.40%","0","3","4","34","6.79%"
"Witch Doctor","30","5.99%","10","18","2","36.67%","4","0.80%","0","2","2","34","6.79%"
"Enigma","19","3.79%","5","6","8","63.16%","15","2.99%","2","5","8","34","6.79%"
"Spirit Breaker","25","4.99%","10","14","1","56.00%","9","1.80%","2","7","0","34","6.79%"
"Tidehunter","22","4.39%","5","8","9","36.36%","11","2.20%","2","6","3","33","6.59%"
"Night Stalker","23","4.59%","7","12","4","47.83%","9","1.80%","2","6","1","32","6.39%"
"Medusa","16","3.19%","0","8","8","50.00%","16","3.19%","2","7","7","32","6.39%"
"Lion","27","5.39%","8","11","8","37.04%","4","0.80%","1","2","1","31","6.19%"
"Beastmaster","20","3.99%","4","13","3","70.00%","11","2.20%","2","6","3","31","6.19%"
"Winter Wyvern","23","4.59%","7","13","3","52.17%","8","1.60%","1","7","0","31","6.19%"
"Shadow Demon","17","3.39%","5","9","3","23.53%","13","2.59%","6","3","4","30","5.99%"
"Viper","19","3.79%","0","7","12","47.37%","10","2.00%","3","2","5","29","5.79%"
"Jakiro","25","4.99%","9","13","3","40.00%","4","0.80%","0","3","1","29","5.79%"
"Sven","16","3.19%","1","3","12","62.50%","12","2.40%","1","5","6","28","5.59%"
"Bounty Hunter","18","3.59%","3","11","4","44.44%","8","1.60%","1","3","4","26","5.19%"
"Abyssal Underlord","12","2.40%","0","8","4","25.00%","14","2.79%","9","4","1","26","5.19%"
"Doom","20","3.99%","2","11","7","45.00%","5","1.00%","3","2","0","25","4.99%"
"Kunkka","17","3.39%","4","10","3","52.94%","7","1.40%","1","3","3","24","4.79%"
"Brewmaster","12","2.40%","1","8","3","25.00%","9","1.80%","3","5","1","21","4.19%"
"Chaos Knight","10","2.00%","0","1","9","50.00%","10","2.00%","1","3","6","20","3.99%"
"Oracle","15","2.99%","3","10","2","60.00%","5","1.00%","0","3","2","20","3.99%"
"Mirana","17","3.39%","2","4","11","47.06%","1","0.20%","0","0","1","18","3.59%"
"Shadow Shaman","15","2.99%","6","9","0","26.67%","2","0.40%","0","2","0","17","3.39%"
"Queen of Pain","11","2.20%","0","6","5","63.64%","6","1.20%","0","2","4","17","3.39%"
"Undying","10","2.00%","1","7","2","30.00%","6","1.20%","2","2","2","16","3.19%"
"Broodmother","3","0.60%","0","2","1","33.33%","12","2.40%","0","3","9","15","2.99%"
"Bloodseeker","11","2.20%","0","5","6","27.27%","3","0.60%","1","1","1","14","2.79%"
"Clinkz","9","1.80%","0","4","5","44.44%","5","1.00%","0","2","3","14","2.79%"
"Gyrocopter","13","2.59%","0","5","8","30.77%","1","0.20%","0","1","0","14","2.79%"
"Necrolyte","8","1.60%","0","2","6","25.00%","5","1.00%","0","2","3","13","2.59%"
"Windrunner","12","2.40%","2","5","5","25.00%","0","0.00%","0","0","0","12","2.40%"
"Wraith King","9","1.80%","0","1","8","44.44%","3","0.60%","0","1","2","12","2.40%"
"Nature's Prophet","9","1.80%","0","5","4","22.22%","3","0.60%","0","1","2","12","2.40%"
"Ancient Apparition","2","0.40%","1","0","1","50.00%","10","2.00%","1","6","3","12","2.40%"
"Bane","11","2.20%","2","7","2","36.36%","0","0.00%","0","0","0","11","2.20%"
"Phoenix","10","2.00%","4","3","3","50.00%","1","0.20%","0","0","1","11","2.20%"
"Razor","5","1.00%","2","2","1","40.00%","5","1.00%","0","2","3","10","2.00%"
"Dragon Knight","8","1.60%","1","3","4","12.50%","2","0.40%","0","1","1","10","2.00%"
"Enchantress","7","1.40%","0","4","3","28.57%","2","0.40%","1","0","1","9","1.80%"
"Chen","5","1.00%","0","4","1","80.00%","4","0.80%","1","2","1","9","1.80%"
"Skywrath Mage","9","1.80%","2","4","3","33.33%","0","0.00%","0","0","0","9","1.80%"
"Elder Titan","8","1.60%","1","5","2","50.00%","1","0.20%","0","1","0","9","1.80%"
"Bristleback","8","1.60%","4","4","0","25.00%","0","0.00%","0","0","0","8","1.60%"
"Arc Warden","4","0.80%","0","1","3","50.00%","4","0.80%","1","2","1","8","1.60%"
"Tiny","5","1.00%","3","0","2","0.00%","2","0.40%","0","0","2","7","1.40%"
"Leshrac","7","1.40%","1","3","3","57.14%","0","0.00%","0","0","0","7","1.40%"
"Zeus","5","1.00%","0","1","4","40.00%","1","0.20%","0","1","0","6","1.20%"
"Huskar","2","0.40%","0","2","0","50.00%","4","0.80%","0","1","3","6","1.20%"
"Lich","5","1.00%","3","0","2","40.00%","0","0.00%","0","0","0","5","1.00%"
"Pugna","3","0.60%","0","0","3","66.67%","2","0.40%","0","2","0","5","1.00%"
"Lycanthrope","2","0.40%","0","1","1","0.00%","2","0.40%","0","1","1","4","0.80%"
"Phantom Lancer","2","0.40%","0","0","2","0.00%","1","0.20%","0","0","1","3","0.60%"
"Death Prophet","1","0.20%","0","0","1","0.00%","0","0.00%","0","0","0","1","0.20%"
