"Hero","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Win %","Total Count","% of games","1st Phase","2nd Phase","3rd Phase","Total","% of games"
"Magnus","116","23.15%","92","16","8","53.45%","280","55.89%","242","27","11","396","79.04%"
"Lifestealer","163","32.53%","122","35","6","45.40%","219","43.71%","106","98","15","382","76.25%"
"Juggernaut","192","38.32%","103","78","11","49.48%","188","37.52%","35","120","33","380","75.85%"
"Slardar","177","35.33%","137","31","9","51.41%","203","40.52%","156","35","12","380","75.85%"
"Monkey King","138","27.54%","114","19","5","47.83%","217","43.31%","206","8","3","355","70.86%"
"Earth Spirit","173","34.53%","129","41","3","57.23%","163","32.53%","129","26","8","336","67.07%"
"Abaddon","95","18.96%","70","19","6","52.63%","209","41.72%","177","29","3","304","60.68%"
"Invoker","142","28.34%","38","69","35","49.30%","143","28.54%","39","73","31","285","56.89%"
"Centaur Warrunner","127","25.35%","83","33","11","45.67%","144","28.74%","111","24","9","271","54.09%"
"Alchemist","86","17.17%","23","32","31","51.16%","182","36.33%","87","76","19","268","53.49%"
"Nyx Assassin","126","25.15%","89","30","7","54.76%","130","25.95%","73","44","13","256","51.10%"
"Lina","145","28.94%","73","45","27","62.07%","98","19.56%","46","42","10","243","48.50%"
"Weaver","111","22.16%","49","49","13","42.34%","131","26.15%","49","60","22","242","48.30%"
"Ursa","92","18.36%","29","47","16","60.87%","139","27.74%","24","91","24","231","46.11%"
"Rubick","172","34.33%","95","60","17","47.09%","44","8.78%","12","22","10","216","43.11%"
"Axe","104","20.76%","41","51","12","56.73%","109","21.76%","19","76","14","213","42.51%"
"Warlock","133","26.55%","53","71","9","54.89%","75","14.97%","17","45","13","208","41.52%"
"Crystal Maiden","177","35.33%","81","85","11","55.93%","22","4.39%","5","12","5","199","39.72%"
"Ember Spirit","71","14.17%","12","22","37","54.93%","117","23.35%","15","74","28","188","37.52%"
"Disruptor","133","26.55%","68","59","6","50.38%","49","9.78%","8","17","24","182","36.33%"
"Tinker","58","11.58%","4","29","25","31.03%","123","24.55%","19","61","43","181","36.13%"
"Keeper of the Light","68","13.57%","41","22","5","42.65%","101","20.16%","62","31","8","169","33.73%"
"Templar Assassin","63","12.57%","2","24","37","53.97%","100","19.96%","2","50","48","163","32.53%"
"Shadow Fiend","77","15.37%","8","36","33","49.35%","85","16.97%","5","36","44","162","32.34%"
"Outworld Devourer","53","10.58%","2","20","31","47.17%","109","21.76%","6","54","49","162","32.34%"
"Legion Commander","75","14.97%","11","46","18","54.67%","84","16.77%","6","57","21","159","31.74%"
"Terrorblade","56","11.18%","11","24","21","66.07%","94","18.76%","2","69","23","150","29.94%"
"Vengeful Spirit","111","22.16%","35","56","20","50.45%","38","7.58%","5","20","13","149","29.74%"
"Silencer","65","12.97%","28","31","6","50.77%","73","14.57%","17","33","23","138","27.54%"
"Slark","43","8.58%","1","23","19","39.53%","91","18.16%","4","52","35","134","26.75%"
"Ogre Magi","93","18.56%","52","36","5","43.01%","37","7.39%","10","18","9","130","25.95%"
"Sand King","76","15.17%","29","40","7","46.05%","48","9.58%","6","24","18","124","24.75%"
"Dark Seer","62","12.38%","23","29","10","53.23%","56","11.18%","24","27","5","118","23.55%"
"Troll Warlord","59","11.78%","9","29","21","55.93%","54","10.78%","7","29","18","113","22.55%"
"Storm Spirit","51","10.18%","0","23","28","56.86%","56","11.18%","7","15","34","107","21.36%"
"Timbersaw","36","7.19%","4","20","12","36.11%","62","12.38%","22","29","11","98","19.56%"
